resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,1,0.6,270,2355,1,1,1,0,0,,
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,3,0.1,90,-1,-1,2,-1,2,4432.573999999477,,
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,8,0.3,90,907,2,2,1,6,12080.43899999847,,
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,4,0.5,90,1062,2,2,1,2,7448.653999998896,,
1574,1027,21,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,7,0.6,90,528,2,2,1,5,11547.30699999891,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,3,0.1,270,707,2,1,0,2,3452.347000000038,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,5,0.3,270,1662,1,1,1,2,7171.962000000014,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,1,0.5,270,2549,1,1,1,0,0,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,2,0.6,270,890,1,1,1,1,2551.8200000000215,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,4,0.1,90,-1,-1,2,-1,2,4170.19600000004,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,7,0.3,90,1087,2,2,1,4,9766.015000000058,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,8,0.5,90,664,2,2,1,5,10867.480000000127,,
1582,1030,18,male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,6,0.6,90,904,2,2,1,3,8848.466000000044,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,2,0.1,270,1027,2,1,0,0,3004.9910000000236,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,2,1,4,0.3,270,1386,1,1,1,0,5070.624999999956,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,3,1,6,0.5,270,1917,1,1,1,2,7821.480999999971,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,4,1,5,0.6,270,1335,1,1,1,1,6471.043999999907,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,5,1,3,0.1,90,1020,1,2,0,0,4038.695999999967,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,6,1,1,0.3,90,-1,-1,2,-1,0,0,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,7,1,7,0.5,90,636,2,2,1,3,9739.11499999999,,
1587,1034,22,Male,Not Set,study4ap,3,3,0,0,0,0,0,8,1,8,0.6,90,567,2,2,1,4,10390.10599999997,,
1588,1033,25,Male,Not Set,study4ap,3,3,0,0,0,0,0,1,1,7,0.1,270,-1,-1,1,-1,2,8797.030000000057,,
