resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,7,0.52,591,1,1,1,4,10198.928999714553
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,1,0.54,1513,1,1,1,0,0
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,4,0.56,2328,2,1,0,2,5766.661999747157
11030,1132,65,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,8,0.68,767,1,1,1,5,10798.922999529168
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,3,0.42,-1,-1,2,-1,0,6033.0919999978505
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,4,0.44,349,1,2,0,0,9049.637999996776
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,6,0.46,55,1,2,0,0,9482.953999977326
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,5,0.48,57,1,2,0,0,9416.28999999375
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,1,0.52,-1,-1,1,-1,0,0
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,2,0.54,-1,-1,1,-1,0,3016.5459999989253
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,7,0.56,-1,-1,1,-1,0,9549.617999990005
11031,1131,28,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,8,0.68,263,1,1,1,0,12566.16399998893
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,2,0.42,547,2,2,1,0,479.7430000035092
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,7,0.44,501,2,2,1,4,3583.958999981405
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,1,0.46,474,1,2,0,0,0
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,6,0.48,579,2,2,1,3,3000.3229999856558
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,3,0.52,643,2,1,0,1,1028.8130000117235
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,8,0.54,564,2,1,0,5,4098.276999982772
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,5,0.56,714,1,1,1,2,2279.0319999912754
11035,1133,34,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,4,0.68,591,1,1,1,1,1681.0589999950025
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,1,1,1,0.42,676,2,2,1,0,0
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,2,1,5,0.44,574,2,2,1,3,2381.4849983900785
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,3,1,4,0.46,622,2,2,1,2,1748.6029984429479
11040,1134,30,male,mturk,study6bp,3,3,0,0,0,0,0,4,1,6,0.48,595,2,2,1,4,2964.4219987094402
