resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,67,1,97,0.07,225,790,1,1,1,78,65769.45299995714,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,68,1,119,0.08,255,494,1,1,1,100,81298.375999977,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,69,1,102,0.05,135,677,2,2,1,83,69739.31699997047,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,70,1,51,0.06,135,636,2,2,1,37,33093.34899998794,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,71,1,108,0.07,135,700,2,2,1,89,73875.96799997846,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,72,1,73,0.08,135,485,2,2,1,57,48172.14699994656,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,73,1,36,0.05,225,676,1,1,1,25,22835.043000013684,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,74,1,63,0.06,225,653,1,1,1,48,40899.56799996435,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,75,1,81,0.07,225,919,1,1,1,64,54360.30499995104,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,76,1,85,0.08,255,733,1,1,1,68,57579.55799995398,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,77,1,114,0.05,135,777,2,2,1,95,78062.64999999257,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,78,1,62,0.06,135,815,2,2,1,47,40082.29699995718,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,79,1,75,0.07,135,884,2,2,1,59,49539.82499995618,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,80,1,84,0.08,135,908,2,2,1,67,56662.21299994504,,
